Format Version,1.1,Take Name,Take 2021-09-15 03.19.26 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-09-15 03.19.26.638 PM,Total Frames,4065,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_2,Marker_2,Marker_2,Marker_1,Marker_1,Marker_1,Marker_3,Marker_3,Marker_3
,,"8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702804","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702806","8392B20CF49E35702811","8392B20CF49E35702811","8392B20CF49E35702811"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
66,0.660000,-0.352322,1.026184,1.082815,-0.350222,1.165674,1.054058,-0.325858,0.883572,1.067217
67,0.670000,-0.352252,1.026128,1.082785,-0.350204,1.165628,1.054039,-0.325847,0.883536,1.067198
68,0.680000,-0.352300,1.026114,1.082793,-0.350204,1.165590,1.054042,-0.325853,0.883507,1.067201
69,0.690000,-0.352296,1.026075,1.082762,-0.350232,1.165557,1.054024,-0.325916,0.883501,1.067226
70,0.700000,-0.352233,1.026021,1.082744,-0.350216,1.165542,1.054020,-0.325863,0.883421,1.067203
71,0.710000,-0.352230,1.026011,1.082736,-0.350173,1.165499,1.054011,-0.325843,0.883373,1.067164
72,0.720000,-0.352245,1.025953,1.082732,-0.350209,1.165481,1.054009,-0.325819,0.883333,1.067149
73,0.730000,-0.352270,1.025933,1.082710,-0.350173,1.165427,1.054007,-0.325197,0.883050,1.066983
74,0.740000,-0.352249,1.025886,1.082690,-0.350205,1.165400,1.053994,-0.325787,0.883252,1.067110
75,0.750000,-0.352252,1.025855,1.082690,-0.350165,1.165350,1.053995,-0.325754,0.883198,1.067106
76,0.760000,-0.352245,1.025825,1.082669,-0.350216,1.165334,1.053982,-0.325783,0.883187,1.067111
77,0.770000,-0.352227,1.025787,1.082667,-0.350224,1.165282,1.053961,-0.325771,0.883150,1.067069
